Jama,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,obmazywanie,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ucha,inne/ nieokreœlone el. plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,wyg³adzanie,nak³uwanie
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
45,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
45,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
45,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
45,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
49,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
49,b,b,ch,k,otwory pod wylewem,,3b,,,,,,,,,1,,,,,,,,,,,
49,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
49,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
49,b,b,ch,k,"otwory pod wylewem, do³ki paznokciowe",,3b,,,,,,,1,,1,,,,,,,,,,,
49,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
56,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
56,b,b,g,k,otwory (pod wylewem?),,3a,,,,,,,,,1,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
57,,,,,"otwór na powierzchni, odcisk plecionki",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
57,b,b,g,k,,fragm.dna,3a,,,,,,,,,,,,,,,,,,,,
57,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
57,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
57,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
57,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
57,b,b,g,k,otwór pod wylewem,kraw.wylewu,3a,,,,,,,,,1,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
60,,,,,"otwór na powierzchni, do³ki palcowe",talerz-placek,3c,,,,,,1,,,,1,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
60,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
60,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
60,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
61,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
61,b,b,ch,k,"otwory pod wylewem, do³ki paznokciowe",,3b,,,,,,,1,,,1,,,,,,,,,,
61,,,,,"otwór na powierzchni, odcisk plecionki",talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,"otwór na powierzchni, do³ki paznokciowe",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,fragm. el. plastycznego,,3a,,,,,,,,,,,,,,,1,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,ucho taœmowate,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,ucho taœmowate,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,otwór pod wylewem,,3b,,,,,,,,,1,,,,,,,,,,,
61,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
61,b,b,g,k,,ucho taœmowate,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,otwór pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,ucho taœmowate,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,guz plastyczny z wg³êbieniem,,3b,1,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,guz plastyczny z wg³êbieniem,,3b,1,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,do³ki paznokciowe,,3b,,,,,,,1,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
61,b,b,ch,k,guz plastyczny z wg³êbieniem,,3b,1,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
61,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
61,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
62,b,b,ch,k,do³ki paznokciowe,,3b,,,,,,,1,,,,,,,,,,,,,
62,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
62,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
62,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
62,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
62,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
64,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
64,b,c,g,0/k,,,2a,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,guz plastyczny z wg³êbieniem,,3b,1,,,,,,,,,,,,,,,,,,,
64,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
64,,,,,otwory na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
64,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
64,b,c,g,0/k,,,2a,,,,,,,,,,,,,,,,,,,,
64,,,,,otwory na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
64,b,b,ch,k,otwór pod wylewem,,3b,,,,,,,,,1,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,do³ki paznokciowe,,3b,,,,,,,1,,,,,,,,,,,,,
64,b,b,ch,k,otwór pod wylewem,wylew,3b,,,,,,,,,1,,,,,,,,,,,
64,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,b,c,g,0/k,fragm.el.plastycznego,,2a,,,,,,,,,,,,,,,1,,,,,
64,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
64,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
64,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
64,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
64,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
64,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
65,,,,,"do³ek paznokciowy, otwory na powierzchni",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
65,,,,,otwory na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
65,,,,,"otwory na powierzchni, odciski plecionki",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
65,b,c,ch,k,"listwa plastyczna z do³kami paznokciowymi (karbowana?), guzek plastyczny poni¿ej wylewu",,2b,,,1,,,,,,,,,1,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,,,,,"do³ki paznokciowe, otwór na powierzchni",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
65,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
65,b,c,ch,k,listwa plastyczna z do³kami paznokciowymi (karbowana?),,2b,,,,,,,,,,,,1,,,,,,,,
65,b,c,g,k,,dno,2a,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
65,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
65,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
